               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075258,            0.026557,            0.025411,              0.4551,             0.44084,             0.39971,             0.17642,            0.056754,            0.013058,           0.0082469,            0.070077,           0.0033248,           0.0033248
                   1,            0.055199,            0.021831,           0.0098365,             0.65255,             0.54042,             0.58756,             0.27372,            0.049917,            0.011597,           0.0070177,            0.039945,           0.0065263,           0.0065263
                   2,            0.052347,            0.021453,            0.010059,             0.61258,             0.50077,             0.52856,             0.26221,            0.051163,            0.012293,           0.0079231,           0.0096809,           0.0095958,           0.0095958
                   3,            0.052227,            0.022391,            0.011117,             0.49586,             0.44884,             0.43618,             0.20599,            0.053453,            0.013372,            0.010116,            0.009406,            0.009406,            0.009406
                   4,             0.05064,            0.022298,            0.010854,             0.55841,             0.48148,             0.47064,             0.21764,            0.052323,            0.012803,           0.0098038,            0.009406,            0.009406,            0.009406
                   5,            0.048549,            0.022341,            0.009481,             0.62425,             0.55158,             0.56498,             0.28545,             0.04931,            0.011915,           0.0070978,            0.009208,            0.009208,            0.009208
                   6,            0.047892,            0.021537,           0.0085003,             0.69925,             0.54926,             0.61556,             0.31042,            0.046374,             0.01195,           0.0070063,             0.00901,             0.00901,             0.00901
                   7,             0.04666,            0.021469,           0.0081387,             0.67785,             0.55758,             0.62499,             0.32076,            0.046557,            0.011756,           0.0059314,            0.008812,            0.008812,            0.008812
                   8,            0.045218,            0.021046,           0.0071112,             0.73807,              0.5984,             0.66235,             0.36404,            0.045333,             0.01132,           0.0063337,            0.008614,            0.008614,            0.008614
                   9,             0.04455,            0.020805,           0.0070327,             0.72128,              0.6162,             0.66958,              0.3615,            0.043756,            0.011173,           0.0065618,            0.008416,            0.008416,            0.008416
                  10,            0.044427,            0.020578,            0.006586,             0.70408,             0.60605,             0.65319,             0.36564,            0.044921,             0.01159,           0.0066938,            0.008218,            0.008218,            0.008218
                  11,             0.04317,            0.020208,           0.0060454,              0.7296,             0.61101,             0.68297,             0.37138,             0.04406,            0.010924,           0.0040615,             0.00802,             0.00802,             0.00802
                  12,            0.042272,            0.020001,           0.0055214,             0.73743,             0.64391,             0.69776,             0.38597,             0.04288,            0.010891,           0.0061012,            0.007822,            0.007822,            0.007822
                  13,            0.041769,            0.019772,           0.0052566,             0.77677,             0.63991,             0.72188,             0.40758,             0.04295,            0.010655,           0.0049098,            0.007624,            0.007624,            0.007624
                  14,            0.041303,            0.019829,           0.0051596,             0.76635,             0.64099,             0.71244,             0.40636,            0.041108,            0.010537,           0.0050496,            0.007426,            0.007426,            0.007426
                  15,            0.040716,            0.019581,           0.0050751,              0.7626,             0.63641,             0.70566,             0.40258,            0.042734,            0.010871,           0.0069715,            0.007228,            0.007228,            0.007228
                  16,            0.040653,            0.019543,           0.0049115,             0.75807,             0.62251,             0.70163,             0.38168,            0.043355,            0.011061,           0.0051394,             0.00703,             0.00703,             0.00703
                  17,             0.03979,            0.019746,           0.0048576,             0.73981,             0.66059,             0.72351,              0.4145,            0.041915,            0.010652,           0.0053671,            0.006832,            0.006832,            0.006832
                  18,            0.039177,            0.018912,            0.004413,             0.77605,             0.65978,             0.73091,             0.42181,             0.04084,              0.0105,           0.0056828,            0.006634,            0.006634,            0.006634
                  19,            0.038962,            0.019163,           0.0040497,              0.7734,             0.66178,             0.73096,             0.42341,            0.040429,            0.010445,           0.0049173,            0.006436,            0.006436,            0.006436
